PROTEIN_SEQUENCE	Comm1 (26)	Comm2 (8)	Comm3 (4)
PTPA_STRCO/5-152	30.761538 (22)	0.000000 (0)	0.000000 (0)
A7YTH0_FRATU/6-152	21.107693 (19)	0.000000 (0)	0.000000 (0)
H2IPD5_RAHAC/6-140	9.310769 (15)	0.000000 (1)	0.000000 (0)
A9B0J7_HERA2/4-146	25.301538 (20)	0.000000 (0)	0.000000 (0)
F1WDK2_MORCA/7-152	46.073845 (26)	0.000000 (0)	0.000000 (0)
D6KP12_9FIRM/4-145	13.824615 (16)	0.000000 (0)	0.000000 (0)
E4N757_KITSK/9-130	0.953846 (7)	54.071430 (5)	117.500000 (4)
D8MDC5_LEUGT/3-132	1.201538 (7)	108.482140 (7)	117.500000 (4)
F0YZR0_9CLOT/4-145	10.853847 (15)	0.000000 (0)	0.000000 (0)
D0ME55_RHOM4/6-135	0.538462 (6)	105.267860 (7)	117.500000 (4)
G2JLK9_ACIBA/7-158	42.195385 (25)	0.000000 (0)	0.000000 (0)
D3B3P7_POLPA/10-176	46.073845 (26)	0.000000 (0)	0.000000 (0)
A0QCV0_MYCA1/1-125	0.535385 (5)	21.696428 (4)	62.583332 (3)
Q87BW0_XYLFT/3-148	34.480000 (23)	0.000000 (0)	0.000000 (0)
A6D9N0_9VIBR/5-128	1.736923 (9)	64.875000 (6)	0.000000 (1)
A4EXL2_9RHOB/8-145	36.053844 (23)	0.000000 (0)	0.000000 (0)
B2T0R7_BURPP/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
B9C8F2_9BURK/8-142	0.755385 (6)	98.392860 (7)	0.000000 (1)
B2A0J2_NATTJ/5-126	0.786154 (7)	47.857143 (5)	0.000000 (1)
B4HFP1_DROSE/5-149	33.998463 (22)	0.000000 (0)	0.000000 (0)
H1D317_9FIRM/12-153	14.278461 (16)	0.000000 (0)	0.000000 (0)
F8I3A1_SULAT/14-155	31.621538 (22)	0.000000 (0)	0.000000 (0)
G4J7N4_9PSEU/30-172	21.172308 (19)	0.000000 (0)	0.000000 (0)
B1Z0Y0_BURA4/5-138	7.218462 (14)	0.000000 (0)	0.000000 (0)
A7ACM7_9PORP/11-156	35.555386 (23)	0.000000 (0)	0.000000 (0)
A8ZTX6_DESOH/6-136	0.489231 (6)	24.428572 (4)	49.666668 (3)
D5VM45_CAUST/9-144	1.661538 (8)	9.321428 (3)	56.916668 (3)
F0SUY2_SYNGF/4-125	0.963077 (8)	34.017857 (4)	22.000000 (2)
G9X7Q1_9FIRM/4-143	13.132308 (16)	0.000000 (0)	0.000000 (0)
D7DMG0_METS0/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
I0LB34_9ACTO/6-198	8.116923 (14)	0.000000 (0)	0.000000 (0)
A8TQ32_9PROT/15-146	1.104615 (7)	2.732143 (2)	56.916668 (3)
F2NJ13_DESAR/9-140	0.755385 (6)	71.553574 (6)	117.500000 (4)
G4CYV8_9ACTO/30-151	0.476923 (5)	54.071430 (5)	62.583332 (3)
H1Z1H1_9EURY/6-133	0.624615 (6)	105.267860 (7)	22.000000 (2)
Q8YM72_NOSS1/5-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
F8E6C3_FLESM/7-135	1.201538 (7)	81.928574 (6)	117.500000 (4)
D2Q2H1_KRIFD/8-145	25.818462 (21)	0.000000 (0)	0.000000 (0)
C9A264_ENTGA/4-144	28.296923 (21)	0.000000 (0)	0.000000 (0)
E6KU34_9ACTO/3-160	13.846154 (18)	0.000000 (0)	0.000000 (0)
H0U7P9_BRELA/4-145	31.241539 (22)	0.000000 (0)	0.000000 (0)
D3IAB6_9BACT/6-152	46.073845 (26)	0.000000 (0)	0.000000 (0)
D2S4W4_GEOOG/7-131	0.535385 (5)	21.696428 (4)	62.583332 (3)
Q489D5_COLP3/7-151	7.667692 (14)	0.000000 (0)	0.000000 (0)
C5BIL2_TERTT/3-134	0.689231 (6)	78.160713 (6)	0.000000 (0)
H1Z200_9EURY/6-134	0.472308 (5)	105.267860 (7)	117.500000 (4)
B8GF35_METPE/5-134	0.472308 (5)	75.553574 (6)	117.500000 (4)
Q3ATK5_CHLCH/5-135	0.689231 (6)	105.267860 (7)	117.500000 (4)
Q0B2A5_BURCM/5-138	7.995385 (14)	0.000000 (0)	0.000000 (1)
H3NJR9_9LACT/6-128	0.964615 (7)	29.964285 (4)	22.000000 (2)
E3PTP6_CLOSD/4-144	4.766154 (12)	0.000000 (0)	19.500000 (2)
H8GVA9_DEIGI/1-142	34.838463 (23)	0.000000 (0)	0.000000 (0)
G7W8Y4_DESOD/8-129	1.092308 (8)	47.857143 (5)	0.000000 (1)
C2MB49_9PORP/14-160	41.256924 (25)	0.000000 (0)	0.000000 (0)
Q4KFT2_PSEF5/3-147	30.549231 (22)	0.000000 (0)	0.000000 (0)
F8K107_STREN/9-130	0.644615 (6)	54.071430 (5)	117.500000 (4)
Q1QAQ5_PSYCK/11-159	40.544617 (25)	0.000000 (0)	0.000000 (0)
G7VT52_PAETH/6-135	1.201538 (7)	108.482140 (7)	65.833336 (3)
A6AJR1_VIBHA/6-130	1.536923 (8)	91.875000 (7)	0.000000 (1)
C6R9J7_9CORY/39-182	25.750769 (21)	0.000000 (0)	0.000000 (1)
C9K1I3_KLEPN/5-139	7.612308 (14)	0.000000 (0)	0.000000 (0)
G8QMG1_AZOSU/4-149	40.878460 (25)	0.000000 (0)	0.000000 (0)
A8FIC4_BACP2/3-142	2.578462 (10)	0.000000 (0)	0.000000 (1)
F3AP14_9FIRM/361-497	2.510769 (6)	0.000000 (1)	0.000000 (1)
A1TB63_MYCVP/7-150	16.304615 (17)	0.000000 (0)	0.000000 (0)
B6FQ56_9CLOT/375-511	2.067692 (7)	0.000000 (0)	0.000000 (1)
Q5P149_AROAE/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
A8N2M0_COPC7/11-150	44.135384 (25)	0.000000 (0)	0.000000 (0)
B2TEB7_BURPP/5-138	5.363077 (13)	0.000000 (1)	0.000000 (0)
H3K8M5_9FIRM/4-125	0.963077 (8)	34.017857 (4)	22.000000 (2)
C4Z9S0_EUBR3/357-495	1.675385 (7)	0.000000 (0)	0.000000 (1)
A3Y8B9_9GAMM/13-154	46.073845 (26)	0.000000 (0)	0.000000 (0)
I0LEW1_9ACTO/118-249	2.310769 (10)	78.160713 (6)	0.000000 (0)
B7FB01_9MICO/7-130	1.681538 (8)	5.107143 (2)	62.583332 (3)
Q6FWC2_CANGA/9-155	38.481537 (24)	0.000000 (0)	0.000000 (0)
F8EY58_SPICH/8-140	1.066154 (6)	105.267860 (7)	117.500000 (4)
C1DUJ5_SULAA/4-137	0.755385 (6)	131.732147 (8)	117.500000 (4)
F4CLZ9_PSEUX/107-232	1.546154 (9)	108.482140 (7)	0.000000 (0)
B4D3X0_9BACT/45-187	5.467692 (12)	0.000000 (0)	0.000000 (1)
B4NHA0_DROWI/9-155	37.318462 (24)	0.000000 (0)	0.000000 (0)
D7WAC8_9CORY/8-134	0.535385 (5)	9.321428 (3)	62.583332 (3)
Q0F0W8_9PROT/8-150	26.369230 (21)	0.000000 (0)	0.000000 (0)
A0R098_MYCS2/6-149	18.684616 (19)	0.000000 (0)	0.000000 (0)
C4K9G4_THASP/4-150	40.099998 (25)	0.000000 (0)	0.000000 (0)
B3QA31_RHOPT/13-147	0.930769 (7)	11.250000 (3)	13.416667 (2)
Q2BG26_9BACI/1-124	0.338462 (3)	0.000000 (0)	0.000000 (1)
F8A288_CELGA/5-163	14.560000 (18)	0.000000 (0)	0.000000 (0)
C5E884_BIFLI/19-198	1.558462 (9)	0.000000 (0)	0.000000 (0)
Q47CR1_DECAR/8-141	0.755385 (6)	131.732147 (8)	0.000000 (0)
C8Q0B9_9GAMM/6-139	9.310769 (15)	0.000000 (0)	19.500000 (2)
C4LKI8_CORK4/124-244	0.520000 (6)	39.035713 (4)	62.583332 (3)
C1F6X3_ACIC5/7-141	0.820000 (7)	131.732147 (8)	0.000000 (0)
A0JRE7_ARTS2/18-142	0.535385 (5)	9.321428 (3)	62.583332 (3)
F5LSZ0_9BACL/4-133	3.598462 (11)	0.000000 (0)	0.000000 (0)
F4GSN8_PUSST/8-142	0.870769 (7)	131.732147 (8)	0.000000 (0)
E6LDU7_9ENTE/4-145	16.024616 (17)	0.000000 (0)	0.000000 (0)
F6DHA9_THETG/7-147	36.526154 (24)	0.000000 (0)	0.000000 (1)
H6CJX4_9BACL/4-146	31.241539 (22)	0.000000 (0)	0.000000 (0)
E4RP42_HALSL/13-157	3.598462 (11)	0.000000 (1)	56.916668 (3)
A7NLK7_ROSCS/116-244	0.472308 (5)	131.732147 (8)	22.000000 (2)
I1G850_AMPQE/32-201	6.632308 (13)	3.017857 (2)	0.000000 (0)
D5UE44_CELFN/16-135	0.853846 (7)	5.107143 (2)	62.583332 (3)
B8IQ73_METNO/8-150	34.704617 (23)	0.000000 (0)	0.000000 (0)
G6AQJ3_LACRH/21-150	1.201538 (7)	98.392860 (7)	117.500000 (4)
H5XDN4_9PSEU/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
Q7PVI6_ANOGA/8-152	22.564615 (20)	0.000000 (1)	0.000000 (1)
A7RXH1_NEMVE/8-151	44.135384 (25)	0.000000 (0)	0.000000 (0)
I0L208_9ACTO/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
Q24ND2_DESHY/8-129	1.481538 (9)	34.017857 (4)	22.000000 (2)
B9DQ60_STACT/6-129	1.404615 (8)	47.535713 (5)	65.833336 (3)
A2EK34_TRIVA/6-139	33.621540 (23)	0.000000 (0)	0.000000 (0)
B4SH21_PELPB/14-148	0.755385 (6)	39.196430 (5)	117.500000 (4)
F3HMW8_PSEYM/5-141	6.672307 (14)	0.000000 (0)	0.000000 (0)
D7D3Q7_GEOSC/4-147	31.621538 (22)	0.000000 (0)	0.000000 (0)
C8WD21_ZYMMN/7-150	40.544617 (25)	0.000000 (0)	0.000000 (0)
I1F5I8_AMPQE/4-148	35.029232 (24)	0.000000 (0)	0.000000 (1)
C9YRU9_CLODR/3-146	3.495385 (11)	0.000000 (1)	0.000000 (1)
G2EGM7_9FLAO/1-141	34.381538 (23)	0.000000 (0)	0.000000 (0)
C5C053_BEUC1/10-178	4.355385 (11)	0.000000 (0)	0.000000 (0)
F4AIY8_GLAS4/13-155	42.972309 (25)	0.000000 (0)	0.000000 (0)
D5P3B1_9MYCO/7-128	0.644615 (6)	39.035713 (4)	117.500000 (4)
F8RC17_9ENTR/5-139	6.400000 (13)	0.000000 (0)	0.000000 (0)
B6BDZ7_9RHOB/117-251	0.906154 (7)	131.732147 (8)	0.000000 (0)
E2SFD0_9ACTO/8-156	20.767693 (20)	0.000000 (0)	0.000000 (1)
B4U801_HYDS0/3-128	1.201538 (7)	104.964287 (7)	117.500000 (4)
A9BCT1_PROM4/5-150	41.256924 (25)	0.000000 (0)	0.000000 (0)
B1MMC7_MYCA9/108-227	0.826154 (8)	45.232143 (5)	0.000000 (1)
F4LL46_TREBD/6-127	1.380000 (9)	34.017857 (4)	22.000000 (2)
I0KLT7_STEMA/3-148	38.718460 (24)	0.000000 (0)	0.000000 (0)
A9AGU1_BURM1/6-151	40.544617 (25)	0.000000 (0)	0.000000 (0)
C6JBK9_9FIRM/6-128	1.092308 (8)	47.857143 (5)	22.000000 (2)
H3K9B7_9FIRM/4-145	13.132308 (16)	0.000000 (0)	0.000000 (0)
C4XG99_DESMR/14-146	0.678462 (6)	64.571426 (5)	117.500000 (4)
D0CEZ5_ACIBA/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
H1IGF8_9FIRM/4-142	5.256923 (13)	0.000000 (0)	0.000000 (1)
F5UK30_9CYAN/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
C6WMA2_ACTMD/4-144	21.310770 (19)	0.000000 (0)	0.000000 (0)
Q6XN07_RHOER/6-130	0.535385 (5)	12.071428 (3)	62.583332 (3)
E7QUN1_9EURY/11-139	0.800000 (7)	29.482143 (4)	117.500000 (4)
E6UA45_ETHHY/6-127	0.963077 (8)	34.017857 (4)	22.000000 (2)
D0LB12_GORB4/7-149	22.469231 (20)	0.000000 (0)	0.000000 (1)
D1PI39_9FIRM/7-128	1.275385 (9)	34.017857 (4)	0.000000 (1)
F0GFW6_9BURK/5-143	3.578462 (11)	0.000000 (0)	0.000000 (1)
C3JIQ3_RHOER/15-156	21.172308 (19)	0.000000 (0)	0.000000 (1)
C7QSP4_CYAP0/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
B6IVE4_RHOCS/12-158	40.099998 (25)	0.000000 (0)	0.000000 (0)
H7FZQ9_9LACO/6-127	0.786154 (7)	34.017857 (4)	0.000000 (1)
Q4HQP2_CAMUP/4-146	14.083076 (16)	0.000000 (1)	0.000000 (0)
H0JIH2_9PSED/3-134	0.944615 (7)	131.732147 (8)	0.000000 (0)
E0GNC5_ENTFL/4-134	2.206154 (9)	108.482140 (7)	117.500000 (4)
F9DSR8_9BACL/4-145	24.736923 (20)	0.000000 (0)	0.000000 (0)
B3XMP1_LACRE/4-133	1.509231 (8)	24.428572 (4)	117.500000 (4)
D4G6E7_BACNA/4-147	31.621538 (22)	0.000000 (0)	0.000000 (0)
D5UFN9_CELFN/7-163	16.420000 (19)	0.000000 (0)	0.000000 (0)
G2DHZ1_9GAMM/23-168	42.972309 (25)	0.000000 (0)	0.000000 (0)
F0Z1G0_9CLOT/18-139	1.092308 (8)	59.678570 (5)	0.000000 (1)
F2GD98_ALTMD/3-133	0.689231 (6)	78.160713 (6)	0.000000 (0)
D2ZXV6_NEIMU/5-139	8.373846 (15)	0.000000 (0)	0.000000 (0)
D1BZ20_XYLCX/4-177	7.410769 (13)	0.000000 (0)	0.000000 (0)
F2QNA0_PICP7/6-152	36.107693 (23)	0.000000 (1)	0.000000 (0)
G4L342_TETHN/4-145	21.169231 (19)	0.000000 (0)	0.000000 (0)
D0M0W2_VIBSE/4-146	44.135384 (25)	0.000000 (0)	0.000000 (0)
D5N058_BACPN/3-142	2.578462 (10)	0.000000 (0)	0.000000 (1)
E3I463_RHOVT/8-142	0.755385 (6)	98.392860 (7)	0.000000 (0)
D9SJY7_GALCS/8-141	0.755385 (6)	131.732147 (8)	0.000000 (0)
D8GE67_LACCZ/4-133	1.201538 (7)	98.392860 (7)	117.500000 (4)
E8KZM8_9RHIZ/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
F3AWR5_9FIRM/4-147	13.970769 (16)	0.000000 (0)	0.000000 (0)
C9N1P3_9FUSO/4-144	14.878462 (17)	0.000000 (0)	0.000000 (0)
Q1B6N0_MYCSS/8-151	17.521538 (18)	0.000000 (0)	0.000000 (0)
C5MAT3_CANTT/1-135	28.443077 (16)	0.000000 (0)	0.000000 (0)
A3JFY1_9ALTE/7-151	35.646152 (24)	0.000000 (0)	0.000000 (0)
H8H3C1_DEIGI/12-141	0.755385 (6)	71.553574 (6)	62.583332 (3)
G0A183_METMM/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
D6V099_9BRAD/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
E2MLV4_PSEUB/3-134	0.944615 (7)	131.732147 (8)	0.000000 (0)
Q65MG1_BACLD/4-147	31.621538 (22)	0.000000 (0)	0.000000 (0)
G1WKD0_9ACTN/4-151	17.569231 (18)	0.000000 (0)	0.000000 (0)
H0NXG5_9SYNC/4-127	0.826154 (7)	31.839285 (4)	117.500000 (4)
B0CR38_LACBS/1-135	42.127693 (23)	0.000000 (0)	0.000000 (0)
H7EZQ2_PSEST/3-134	0.689231 (6)	131.732147 (8)	0.000000 (0)
Q5YYM7_NOCFA/5-168	3.435385 (12)	0.000000 (0)	0.000000 (0)
F7JWD1_9FIRM/6-148	13.970769 (16)	0.000000 (0)	0.000000 (0)
E0MQG8_9RHOB/22-153	1.293846 (8)	20.160715 (4)	56.916668 (3)
Q8D8F8_VIBVU/4-146	41.141537 (24)	0.000000 (0)	0.000000 (0)
F9DI89_9BACT/13-160	40.096924 (24)	0.000000 (1)	0.000000 (0)
F4KVU5_HALH1/6-136	1.538462 (8)	85.178574 (6)	117.500000 (4)
B7S249_9GAMM/3-134	0.689231 (6)	78.160713 (6)	0.000000 (0)
A7THI3_VANPO/11-157	38.481537 (24)	0.000000 (0)	0.000000 (0)
F4HEN9_GALAU/6-148	21.952307 (19)	0.000000 (0)	0.000000 (0)
A4CSH3_SYNPV/5-152	36.526154 (24)	0.000000 (0)	0.000000 (0)
G7Z6L7_AZOL4/4-149	40.099998 (25)	0.000000 (0)	0.000000 (0)
E8XSB2_RAHSY/5-139	10.978461 (16)	0.000000 (0)	0.000000 (0)
A6WED5_KINRD/8-167	14.560000 (18)	0.000000 (0)	0.000000 (0)
D7VDR1_LACPN/4-133	1.201538 (7)	98.392860 (7)	117.500000 (4)
D0RQ82_9PROT/4-135	0.755385 (6)	131.732147 (8)	0.000000 (0)
D4MZA1_9FIRM/4-148	18.349232 (18)	0.000000 (0)	0.000000 (0)
C0E4D5_9CORY/1-133	14.090769 (12)	0.000000 (0)	0.000000 (1)
F5SND3_9GAMM/11-161	46.073845 (26)	0.000000 (0)	0.000000 (0)
A6GZZ3_FLAPJ/4-134	1.201538 (7)	85.178574 (6)	117.500000 (4)
C8VZA2_DESAS/5-146	2.638462 (10)	0.000000 (1)	0.000000 (1)
F6D165_MARPP/6-149	46.073845 (26)	0.000000 (0)	0.000000 (1)
E3REL0_PYRTT/1-151	27.633846 (16)	0.000000 (0)	0.000000 (1)
E9SBL1_RUMAL/4-145	15.396923 (17)	0.000000 (0)	0.000000 (0)
G6I4V4_9FIRM/6-148	2.647692 (10)	0.000000 (0)	0.000000 (1)
G9ZCM3_9GAMM/6-149	38.718460 (24)	0.000000 (0)	0.000000 (1)
Q0RQ70_FRAAA/10-131	0.644615 (6)	16.946428 (3)	117.500000 (4)
F4F824_VERMA/6-198	8.116923 (14)	0.000000 (0)	0.000000 (0)
F9V7G2_LACGT/4-125	1.061538 (8)	34.017857 (4)	22.000000 (2)
D3PU71_STANL/6-187	6.975385 (13)	0.000000 (0)	0.000000 (1)
A7C1A6_9GAMM/6-138	0.543077 (5)	84.446426 (6)	117.500000 (4)
Q7V584_PROMM/5-152	36.526154 (24)	0.000000 (0)	0.000000 (0)
E0RQ59_SPITD/10-142	1.066154 (6)	81.928574 (6)	117.500000 (4)
G4AM30_AGGAC/13-155	18.589231 (18)	0.000000 (0)	0.000000 (0)
A3XA99_9RHOB/119-253	0.755385 (6)	131.732147 (8)	0.000000 (0)
F2JIU5_CELLD/4-145	15.396923 (17)	0.000000 (0)	0.000000 (0)
B4RET1_PHEZH/13-150	2.160000 (9)	9.321428 (3)	56.916668 (3)
D2VUX0_NAEGR/11-159	41.256924 (25)	0.000000 (0)	0.000000 (0)
Q3SW24_NITWN/28-162	0.750769 (6)	11.250000 (3)	13.416667 (2)
E6X102_NITSE/7-131	1.066154 (6)	105.267860 (7)	0.000000 (0)
Q6FAZ0_ACIAD/7-158	42.195385 (25)	0.000000 (1)	0.000000 (0)
A1VQG3_POLNA/8-144	0.744615 (7)	131.732147 (8)	0.000000 (1)
Q24PV6_DESHY/6-135	1.538462 (8)	108.482140 (7)	117.500000 (4)
H5U1G4_9ACTO/7-148	28.680000 (22)	0.000000 (0)	0.000000 (1)
A4G2H3_HERAR/12-146	0.870769 (7)	131.732147 (8)	0.000000 (0)
E3KIJ0_PUCGT/9-151	33.926155 (23)	0.000000 (0)	0.000000 (0)
D8JAM8_HALJB/9-134	0.800000 (7)	0.000000 (1)	117.500000 (4)
G9QJ95_9BACI/3-138	6.766154 (14)	0.000000 (1)	0.000000 (1)
G7MCX1_9CLOT/5-126	1.092308 (8)	47.857143 (5)	0.000000 (1)
D7GG31_PROFC/20-141	0.644615 (6)	54.071430 (5)	117.500000 (4)
E3E3J5_BACA1/4-147	31.621538 (22)	0.000000 (0)	0.000000 (0)
Q04BE0_LACDB/4-149	20.203077 (19)	0.000000 (0)	0.000000 (0)
Q47YT6_COLP3/9-133	1.536923 (8)	64.875000 (6)	0.000000 (1)
E0P1S8_9FIRM/11-152	15.396923 (17)	0.000000 (0)	0.000000 (0)
F6FQ95_ISOV2/5-157	18.595385 (20)	0.000000 (0)	0.000000 (0)
Q5LUS4_SILPO/5-142	36.053844 (23)	0.000000 (0)	0.000000 (0)
A6DLC5_9BACT/4-144	3.370769 (11)	0.000000 (1)	0.000000 (1)
I1I9E8_BRADI/106-259	38.263077 (24)	0.000000 (0)	0.000000 (0)
B0MXT9_9BACT/7-153	43.103077 (25)	0.000000 (0)	0.000000 (0)
H0F283_9BURK/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
E6PT05_9ZZZZ/6-151	41.424614 (24)	0.000000 (0)	0.000000 (0)
D5HIJ6_9FIRM/4-159	14.773847 (16)	0.000000 (0)	0.000000 (0)
F7Q6W3_9GAMM/3-132	1.404615 (8)	84.446426 (6)	65.833336 (3)
E3BL95_9VIBR/4-146	41.141537 (24)	0.000000 (1)	0.000000 (0)
Q1BLT3_BURCA/5-143	3.578462 (11)	0.000000 (0)	0.000000 (1)
E2NU14_9FIRM/6-127	1.092308 (8)	34.017857 (4)	22.000000 (2)
F6CQ46_DESK7/5-145	3.781538 (12)	0.000000 (0)	13.416667 (2)
F6CEH1_LACKZ/4-150	19.307692 (19)	0.000000 (0)	0.000000 (1)
D5SYJ8_PLAL2/4-134	1.201538 (7)	131.732147 (8)	117.500000 (4)
C5A9W1_BURGB/6-151	36.792309 (24)	0.000000 (0)	0.000000 (0)
F5XTH7_MICPN/9-179	5.987692 (12)	0.000000 (0)	0.000000 (0)
B7CR52_BURPE/5-140	3.578462 (11)	0.000000 (0)	0.000000 (1)
E6J781_9ACTO/13-139	0.535385 (5)	3.428571 (2)	62.583332 (3)
G7VNV5_LEUME/4-134	1.509231 (8)	131.732147 (8)	117.500000 (4)
G2MMV4_9ARCH/13-141	0.558462 (6)	0.000000 (1)	117.500000 (4)
A8MJX3_ALKOO/13-170	1.986154 (9)	0.000000 (0)	0.000000 (1)
Q7D192_AGRT5/17-148	1.098462 (7)	11.250000 (3)	24.000000 (2)
I0HPE4_RUBGE/8-154	44.315384 (25)	0.000000 (0)	0.000000 (0)
D1B9X5_THEAS/6-139	0.475385 (5)	98.392860 (7)	117.500000 (4)
Q0FHT0_9RHOB/102-236	0.755385 (6)	131.732147 (8)	0.000000 (0)
B9NPH3_9RHOB/5-142	36.053844 (23)	0.000000 (0)	0.000000 (0)
D7N109_9NEIS/6-148	19.607693 (18)	0.000000 (0)	0.000000 (0)
G8W9J0_KLEOK/9-143	10.827692 (16)	0.000000 (0)	0.000000 (0)
F6ENY0_AMYSD/94-215	0.643077 (6)	54.071430 (5)	117.500000 (4)
A1B7C1_PARDP/11-145	0.990769 (7)	131.732147 (8)	0.000000 (0)
I0JQZ4_HALHO/7-136	1.201538 (7)	108.482140 (7)	65.833336 (3)
A9WF46_CHLAA/5-139	1.384615 (9)	0.000000 (1)	0.000000 (0)
G5JQC6_STRCG/4-137	10.663077 (15)	0.000000 (0)	0.000000 (0)
F1YGL8_9ACTO/16-140	0.535385 (5)	21.696428 (4)	62.583332 (3)
F4LRA0_TEPAE/4-144	2.638462 (10)	0.000000 (1)	0.000000 (1)
H8DQE3_9ENTR/5-139	9.310769 (15)	0.000000 (0)	0.000000 (0)
B1VGF3_CORU7/13-162	22.469231 (20)	0.000000 (1)	0.000000 (0)
B8FCX3_DESAA/8-139	1.066154 (6)	105.267860 (7)	117.500000 (4)
Q7NPQ1_GLOVI/4-127	0.826154 (7)	24.428572 (4)	65.833336 (3)
E1YXC6_9BACE/16-146	1.538462 (8)	58.482143 (5)	117.500000 (4)
B6XVI1_9BIFI/10-182	6.029231 (12)	0.000000 (0)	13.416667 (2)
F9VBB3_LACGT/4-139	16.024616 (17)	0.000000 (0)	0.000000 (0)
F4FS03_LACBN/4-147	15.292308 (17)	0.000000 (0)	0.000000 (0)
G4TQE9_PIRID/8-147	32.318462 (22)	0.000000 (0)	0.000000 (0)
F2NP45_MARHT/3-130	0.476923 (4)	105.267860 (7)	117.500000 (4)
Q5YWZ3_NOCFA/8-129	0.821538 (7)	39.035713 (4)	117.500000 (4)
F3A3E6_9BACL/4-144	18.244616 (18)	0.000000 (0)	0.000000 (0)
D2QD01_SPILD/4-153	38.107693 (24)	0.000000 (0)	0.000000 (0)
A9G3M0_SORC5/4-126	0.643077 (6)	39.035713 (4)	117.500000 (4)
D5AUR4_RHOCB/5-139	7.895385 (14)	0.000000 (0)	24.000000 (2)
F0GCI0_9BURK/5-138	9.310769 (15)	0.000000 (0)	0.000000 (1)
A9EMG5_9RHOB/3-135	0.755385 (6)	131.732147 (8)	0.000000 (1)
D8K906_NITWC/24-170	32.470768 (23)	0.000000 (0)	0.000000 (0)
C2FRQ1_9SPHI/3-140	30.866154 (22)	0.000000 (0)	0.000000 (0)
A2PNZ8_VIBCL/3-134	0.732308 (7)	39.035713 (4)	0.000000 (0)
F9NYX5_STRMT/4-135	16.024616 (17)	0.000000 (0)	0.000000 (0)
A5ZA43_9FIRM/6-128	1.092308 (8)	34.017857 (4)	22.000000 (2)
F7SJV9_9GAMM/4-148	46.073845 (26)	0.000000 (0)	0.000000 (0)
F0TAK9_METSL/6-135	0.518462 (6)	36.589287 (4)	65.833336 (3)
G6F6I3_LACDE/6-128	1.092308 (8)	77.732140 (6)	0.000000 (1)
H7D0U3_9CLOT/3-149	2.060000 (9)	0.000000 (1)	0.000000 (1)
A3X4P7_9RHOB/25-162	32.609230 (22)	0.000000 (0)	0.000000 (0)
G8M4L6_9BURK/6-151	37.689232 (24)	0.000000 (0)	0.000000 (0)
E8RI93_DESPD/15-145	1.066154 (6)	81.928574 (6)	117.500000 (4)
A6CTZ2_9BACI/1-126	0.743077 (4)	0.000000 (0)	0.000000 (1)
D3UHI6_HELM1/5-141	22.879999 (19)	0.000000 (0)	0.000000 (0)
G2HBK2_9DELT/23-154	1.244615 (7)	105.267860 (7)	117.500000 (4)
B3T0R0_9ZZZZ/12-157	40.544617 (25)	0.000000 (0)	0.000000 (0)
E1L9C0_9FIRM/3-141	4.358461 (12)	0.000000 (0)	0.000000 (0)
F8DMF4_LACRS/4-132	1.201538 (7)	131.732147 (8)	117.500000 (4)
C0XQU0_9CORY/84-205	0.644615 (6)	77.732140 (6)	14.250000 (2)
A3SIE7_9RHOB/9-146	1.098462 (7)	0.000000 (1)	24.000000 (2)
H1GC72_LISIO/1-130	18.644615 (13)	0.000000 (0)	0.000000 (0)
H5V0M5_ESCHE/5-139	12.530769 (17)	0.000000 (1)	0.000000 (0)
D8J477_HALJB/46-188	11.369231 (15)	0.000000 (0)	0.000000 (1)
F2BEE0_9NEIS/4-146	18.589231 (18)	0.000000 (0)	0.000000 (0)
G4RCZ1_PELHB/13-147	0.826154 (7)	108.482140 (7)	0.000000 (0)
I0Z2T8_9CHLO/4-126	0.643077 (6)	39.035713 (4)	117.500000 (4)
D0J5S7_COMT2/9-154	46.073845 (26)	0.000000 (0)	0.000000 (0)
H8IUX3_MYCIA/9-152	18.347692 (18)	0.000000 (0)	0.000000 (0)
C6R563_9MICC/205-368	3.475385 (10)	0.000000 (0)	0.000000 (0)
B4SJC9_STRM5/5-139	0.755385 (6)	131.732147 (8)	0.000000 (0)
C1C4H0_LITCT/9-154	35.709232 (23)	0.000000 (0)	0.000000 (0)
I0PX85_MYCAB/101-220	0.643077 (7)	45.232143 (5)	0.000000 (1)
Q2W902_MAGSA/4-149	40.099998 (25)	0.000000 (0)	0.000000 (0)
D5UE48_CELFN/211-332	0.644615 (6)	54.071430 (5)	24.333334 (2)
A4J9B3_DESRM/5-145	2.638462 (10)	0.000000 (0)	0.000000 (1)
