PROTEIN_SEQUENCE	Comm1 (6)	Comm2 (2)
H3JB75_STRPU/68-195	12.733334 (6)	10.500000 (2)
E4YKY9_OIKDI/120-252	0.000000 (0)	0.000000 (0)
H0VDB8_CAVPO/21-140	12.733334 (6)	0.000000 (1)
E4XGU7_OIKDI/89-230	0.566667 (2)	0.000000 (1)
G1Q0Q3_MYOLU/21-145	12.733334 (6)	10.500000 (2)
E4WU53_OIKDI/196-332	0.000000 (0)	0.000000 (0)
Q6H3C5_VIRST/1-117	12.733334 (6)	10.500000 (2)
PA21_BOTMO/1-119	12.733334 (6)	10.500000 (2)
D3ZW35_RAT/74-190	3.866667 (3)	0.000000 (1)
E4XUS4_OIKDI/115-259	0.000000 (1)	0.000000 (1)
F1SUN4_PIG/21-142	12.733334 (6)	0.000000 (1)
PA2_CERCE/1-119	12.733334 (6)	10.500000 (2)
PA23_NAJME/1-118	12.733334 (6)	10.500000 (2)
PA21B_CAVPO/23-146	12.733334 (6)	10.500000 (2)
F6TK75_XENTR/30-148	12.733334 (6)	0.000000 (1)
C3Y4E2_BRAFL/295-419	12.733334 (6)	0.000000 (0)
E4XQT1_OIKDI/21-168	0.000000 (1)	0.000000 (0)
E2RM18_CANFA/21-141	12.733334 (6)	0.000000 (1)
E4YML2_OIKDI/15-145	9.900000 (5)	10.500000 (2)
E4XFA7_OIKDI/660-788	0.000000 (0)	0.000000 (0)
G5B4E8_HETGA/41-163	12.733334 (6)	0.000000 (0)
D6WCN4_TRICA/1-113	9.900000 (5)	0.000000 (0)
E4XNF2_OIKDI/74-205	0.000000 (0)	0.000000 (0)
PA21_ACAPL/24-159	12.733334 (6)	0.000000 (0)
H0VDP1_CAVPO/467-588	6.000000 (4)	0.000000 (1)
G3VTN9_SARHA/288-407	6.000000 (4)	0.000000 (1)
B4NFN2_DROWI/243-363	12.733334 (6)	0.000000 (1)
B5G6G1_TROCA/28-145	12.733334 (6)	10.500000 (2)
G3QVJ8_GORGO/21-139	12.733334 (6)	0.000000 (1)
G1P4R3_MYOLU/33-149	12.733334 (6)	0.000000 (0)
A8P1C4_BRUMA/18-144	7.733333 (5)	0.000000 (0)
E4XJ57_OIKDI/23-153	0.000000 (1)	0.000000 (0)
PA25_VIRST/1-122	12.733334 (6)	10.500000 (2)
E4X5I8_OIKDI/122-250	0.000000 (0)	0.000000 (1)
F6QSN6_XENTR/30-149	12.733334 (6)	0.000000 (0)
A7S6G1_NEMVE/2-129	12.733334 (6)	10.500000 (2)
PA2GA_CAVPO/21-143	12.733334 (6)	10.500000 (2)
PA2_SCOVI/29-146	12.733334 (6)	0.000000 (0)
E4XJS6_OIKDI/64-199	0.000000 (0)	0.000000 (0)
E3MDH1_CAERE/20-145	12.733334 (6)	0.000000 (0)
G5E7D4_LOXAF/16-137	12.733334 (6)	0.000000 (0)
Q3HLQ4_PROMU/17-138	6.000000 (4)	10.500000 (2)
G3INE7_CRIGR/131-246	6.000000 (4)	0.000000 (1)
B1H311_XENTR/23-144	12.733334 (6)	10.500000 (2)
PA2D_CALRH/17-137	9.900000 (5)	0.000000 (1)
H0W2B8_CAVPO/21-151	12.733334 (6)	0.000000 (0)
E9PZD1_MOUSE/21-138	12.733334 (6)	0.000000 (1)
A7SAU9_NEMVE/4-125	12.733334 (6)	0.000000 (1)
F7EBG4_ORNAN/18-144	9.033334 (5)	10.500000 (2)
E4XM70_OIKDI/103-236	0.000000 (1)	0.000000 (1)
H0UTD6_CAVPO/21-144	7.733333 (5)	10.500000 (2)
F6ZQN7_MONDO/21-146	12.733334 (6)	0.000000 (1)
C3ZS47_BRAFL/1-127	12.733334 (6)	0.000000 (0)
PA22_ASPSC/1-118	12.733334 (6)	10.500000 (2)
D2H281_AILME/7-123	12.733334 (6)	0.000000 (1)
F6ZRZ5_MONDO/21-144	12.733334 (6)	10.500000 (2)
E4XBS7_OIKDI/39-167	0.000000 (0)	0.000000 (0)
E4XSF5_OIKDI/76-208	0.000000 (0)	0.000000 (0)
E4XKF0_OIKDI/110-253	0.000000 (0)	0.000000 (0)
G9KGY3_MUSPF/2-114	12.733334 (6)	0.000000 (1)
F7G7D1_MONDO/22-141	6.000000 (4)	0.000000 (1)
G5AKR8_HETGA/21-145	12.733334 (6)	10.500000 (2)
PA2M_AGKCL/17-137	7.733333 (5)	0.000000 (1)
Q7ZW60_LITCT/22-140	3.400000 (3)	10.500000 (2)
E4XYC0_OIKDI/107-246	0.000000 (1)	0.000000 (1)
PA2_BITCA/1-121	12.733334 (6)	10.500000 (2)
G1KKJ3_ANOCA/80-197	3.866667 (3)	0.000000 (1)
Q7ZTA7_CROVV/17-138	12.733334 (6)	10.500000 (2)
A6MFM6_DEMVE/28-146	12.733334 (6)	10.500000 (2)
G5BZK5_HETGA/21-144	9.900000 (5)	10.500000 (2)
PA2A_DEIAC/1-120	12.733334 (6)	10.500000 (2)
PA2MB_MICTN/31-148	1.766667 (2)	10.500000 (2)
PA25_GLOHA/1-123	12.733334 (6)	10.500000 (2)
E4Y8M7_OIKDI/76-206	0.000000 (1)	0.000000 (0)
PA25_LAPHA/28-151	12.733334 (6)	10.500000 (2)
G3PLQ7_GASAC/29-149	12.733334 (6)	10.500000 (2)
F6WR52_HORSE/21-141	9.900000 (5)	0.000000 (1)
PA23_GLOHA/1-122	12.733334 (6)	10.500000 (2)
A6MFM9_RHING/28-145	12.733334 (6)	10.500000 (2)
PA2H_BUNFA/1-117	5.033333 (4)	0.000000 (1)
PA2N_BUNFA/1-117	12.733334 (6)	10.500000 (2)
F1PT96_CANFA/11-138	12.733334 (6)	0.000000 (0)
B3S7T3_TRIAD/23-143	12.733334 (6)	0.000000 (1)
E4WPZ4_OIKDI/39-166	0.000000 (1)	0.000000 (0)
H3BHG1_LATCH/21-145	9.900000 (5)	10.500000 (2)
H9G7D1_ANOCA/26-146	12.733334 (6)	10.500000 (2)
PA2GA_MOUSE/22-146	12.733334 (6)	10.500000 (2)
